2016-09-26 17:54:56,511 INFO  [pool-2-thread-1] c.t.v.t.a.CMOSDataUtil - Command-line option(s): [-c, config/cmos_datautil/cmos_datautil.properties]
2016-09-26 17:59:56,513 INFO  [pool-2-thread-1] o.s.c.a.AnnotationConfigApplicationContext - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@49141e64: startup date [Mon Sep 26 17:59:56 EDT 2016]; root of context hierarchy
2016-09-26 17:59:56,638 INFO  [pool-2-thread-1] o.s.j.c.CachingConnectionFactory - Established shared JMS Connection: com.solacesystems.jms.SolConnection@983aab1
2016-09-26 17:59:56,654 INFO  [pool-2-thread-1] c.t.v.t.a.c.CMOSPartyUploader - Published to 'stage/party'
2016-09-26 17:59:56,654 INFO  [pool-2-thread-1] c.t.v.t.a.c.CMOSPartyUploader - Published to 'stage/party'
2016-09-26 17:59:56,654 INFO  [pool-2-thread-1] c.t.v.t.a.c.CMOSPartyUploader - Published to 'stage/party'
2016-09-26 17:59:56,654 INFO  [pool-2-thread-1] c.t.v.t.a.c.CMOSPartyUploader - Published to 'stage/party'
2016-09-26 17:59:56,654 INFO  [pool-2-thread-1] c.t.v.t.a.c.CMOSPartyUploader - Published to 'stage/party'
2016-09-26 17:59:56,654 INFO  [pool-2-thread-1] c.t.v.t.a.c.CMOSPartyUploader - Published to 'stage/party'
2016-09-26 17:59:56,654 INFO  [pool-2-thread-1] c.t.v.t.a.c.CMOSPartyUploader - Published to 'stage/party'
2016-09-26 17:59:56,654 INFO  [pool-2-thread-1] c.t.v.t.a.c.CMOSPartyUploader - Published to 'stage/party'
2016-09-26 17:59:56,654 INFO  [pool-2-thread-1] c.t.v.t.a.c.CMOSPartyUploader - Published to 'stage/party'
2016-09-26 17:59:56,654 INFO  [pool-2-thread-1] c.t.v.t.a.c.CMOSPartyUploader - Published to 'stage/party'
2016-09-26 17:59:56,654 INFO  [pool-2-thread-1] c.t.v.t.a.c.CMOSPartyUploader - Published to 'stage/party'
2016-09-26 17:59:56,654 INFO  [pool-2-thread-1] c.t.v.t.a.c.CMOSPartyUploader - Published to 'stage/party'
2016-09-26 17:59:56,669 INFO  [pool-2-thread-1] c.t.v.t.a.c.CMOSPartyUploader - Published to 'stage/party'
2016-09-26 17:59:56,669 INFO  [pool-2-thread-1] c.t.v.t.a.c.CMOSPartyUploader - Published to 'stage/party'
2016-09-26 17:59:56,669 INFO  [pool-2-thread-1] o.s.c.a.AnnotationConfigApplicationContext - Closing org.springframework.context.annotation.AnnotationConfigApplicationContext@49141e64: startup date [Mon Sep 26 17:59:56 EDT 2016]; root of context hierarchy
2016-09-26 18:14:56,504 INFO  [pool-2-thread-1] c.t.v.t.j.CollineOrganizationCleaner - Cleanup starts
2016-09-26 18:14:58,770 INFO  [pool-2-thread-1] c.t.v.t.j.CollineOrganizationCleaner - Cleanup completed, elapsed time: 2.266 s
2016-09-26 18:14:58,770 INFO  [pool-2-thread-1] c.t.v.t.j.CollineContactCleaner - Cleanup starts
2016-09-26 18:14:59,832 INFO  [pool-2-thread-1] c.t.v.t.j.CollineContactCleaner - Cleanup completed, elapsed time: 1.064 s
2016-09-26 18:39:56,071 INFO  [pool-2-thread-1] c.t.v.t.a.Analyser - Command-line option(s): [-c, config/colline_org_rating_uploader/colline_org_rating_uploader.properties]
2016-09-26 18:39:57,259 INFO  [pool-2-thread-1] c.t.v.t.a.Analyser - DB reader pool initialised (size: 4)
2016-09-26 18:39:57,274 INFO  [pool-2-thread-1] c.t.v.t.a.c.CMOSAnalyser - Reading BLOOMBERG_FILE_UPLOADER test case matrix
2016-09-26 18:39:57,274 INFO  [pool-2-thread-1] c.t.v.t.a.c.CMOSAnalyser - Test cases loaded for BLOOMBERG_FILE_UPLOADER: 1
2016-09-26 18:39:57,274 INFO  [pool-2-thread-1] c.t.v.t.a.c.CMOSAnalyser - Loading queries
2016-09-26 18:39:57,274 INFO  [pool-2-thread-1] c.t.v.t.a.c.CMOSAnalyser - Queries loaded: 1
2016-09-26 18:39:57,290 INFO  [pool-180-thread-4] o.s.c.a.AnnotationConfigApplicationContext - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@67974cb0: startup date [Mon Sep 26 18:39:57 EDT 2016]; root of context hierarchy
2016-09-26 18:39:57,415 INFO  [pool-180-thread-4] o.s.c.a.AnnotationConfigApplicationContext - Closing org.springframework.context.annotation.AnnotationConfigApplicationContext@67974cb0: startup date [Mon Sep 26 18:39:57 EDT 2016]; root of context hierarchy
2016-09-26 18:39:57,415 INFO  [pool-2-thread-1] c.t.v.t.a.ResultsCSVWriter - Write commencing: output\BLOOMBERG_FILE_UPLOADER\BLOOMBERG_FILE_UPLOADER_20160926183957_Analysis.csv
2016-09-26 18:39:57,415 INFO  [pool-2-thread-1] c.t.v.t.a.ResultsCSVWriter - File written: output\BLOOMBERG_FILE_UPLOADER\BLOOMBERG_FILE_UPLOADER_20160926183957_Analysis.csv
2016-09-26 18:39:57,415 INFO  [pool-2-thread-1] c.t.v.t.a.c.CollineOrgRatingUploaderAnalyser - BLOOMBERG_FILE_UPLOADER analysis complete (Pass: 0, Fail: 1, Total: 1)
2016-09-26 18:39:57,415 INFO  [pool-2-thread-1] c.t.v.t.a.c.CollineOrgRatingUploaderAnalyser - All analysis complete
2016-09-26 18:39:57,415 INFO  [pool-2-thread-1] c.t.v.t.a.Analyser - Shutdown requested
2016-09-26 18:39:57,431 INFO  [pool-2-thread-1] c.t.v.t.a.Analyser - Shutdown finished
2016-09-26 18:59:56,072 INFO  [pool-2-thread-1] c.t.v.t.a.Analyser - Command-line option(s): [-c, config/colline_contact_on_demand/colline_contact_on_demand.properties]
2016-09-26 18:59:57,229 INFO  [pool-2-thread-1] c.t.v.t.a.Analyser - DB reader pool initialised (size: 4)
2016-09-26 18:59:57,229 INFO  [pool-2-thread-1] c.t.v.t.a.c.CMOSAnalyser - Reading COLLINE_CONTACT_ON_DEMAND test case matrix
2016-09-26 18:59:57,229 INFO  [pool-2-thread-1] c.t.v.t.a.c.CMOSAnalyser - Test cases loaded for COLLINE_CONTACT_ON_DEMAND: 10
2016-09-26 18:59:57,229 INFO  [pool-2-thread-1] c.t.v.t.a.c.CMOSAnalyser - Reading COLLINE_ORGANIZATION_ON_DEMAND test case matrix
2016-09-26 18:59:57,244 INFO  [pool-2-thread-1] c.t.v.t.a.c.CMOSAnalyser - Test cases loaded for COLLINE_ORGANIZATION_ON_DEMAND: 2
2016-09-26 18:59:57,244 INFO  [pool-2-thread-1] c.t.v.t.a.c.CMOSAnalyser - Loading queries
